upon the shining shore,	ailinisse alkarain 
upon the shining shore,	ailinissen alkarain 
on the last shores,	ailinissen oilimaisen 
upon the last beaches,	ailissen oilimaisen 
the old darkness beyond the stars,	aire móre ala tinwi 
it shone like gold,	a kálie kulundon 
after the last night,	ala fuin oilimaite 
after the last night,	ala fuin oilimaite² 
before the last night,	ala hui oilimaite 
before the last night,	ala hui oilimaite² 
before the last night,	ala hui oilimaite³ 
made it shine in the lights of the sun,	alkantaniéren úrio kalmainen 
in the last rays of light,	alkarissen oilimain 
in the last rays of light,	alkarissen oilimain² 
(a) long wing,	anda ráma 
give (it) me,	an ni 
give (it) me,	an nir 
went on the heights driven by the wind a ship like a bird with a blossom-white neck,	anwe or aiqale elta súrut lunte aiwendon lossiattea 
and the sails of the ship will shine with golden lights,	ar i·kiryo kaluváre talain kulukalmalínen 
and the wind will roar like many forest leaves,	ar i·súru laustuváro lintataurelasselindon 
and the green wet waves,	ar laiqali linqi falmari 
but rather they are to all deeds,	ar váro naltur an ómi karmar 
and the foam-like butterflies,	ar wingildin wilwarindeën 
Elves and Men,	Eldar yan Indi 
thither came little Niéle,	elle tande Nielikkilis 
thereupon in came the man {from whom we heard >>} by whom we were told his money had all been stolen from him,	en ilta n·ner ya me·qetsime ka húyo ne hwa·telpe ie-rautanéma ompa va húyo 
– there on the throne of hate,	– en i úmavaisor 
is having come has come,	e tulien 
the foam blowing,	falma pustane 
a dream from the gloomy islands,	fanwen tollillon lómealloi 
one eats it it is eaten,	ha·matsir 
it comes (some definite thing),	(h)a·tule 
it (some definite thing) comes,	ha·tule 
she ate,	hi·mante 
the black mist-clouds of hell come rushing from the East,	hísimandulómi anta móri rauqi n·Ambalár 
she may be coming may come,	hi·tule ki 
she might (possibly) come or be coming,	hi·tule nai 
she might have come,	hi·túlie nai 
she {will >>} might be coming (supposing else also to be the case which we know is not so),	hi·tulinde nai 
she might (conceivably) come at some time in the future,	hi·tuluva nai 
twice nine is eighteen,	hue yullume i hualqe 
the last evening,	hui oilima 
Who shall see the last evening?,	hui oilima man kiluva 
he did it first (i.e. either before anyone else did so or before he did anything else),	hu·karne ha min 
he eats,	hu·mate 
the storm mumbling,	húro ulmula 
monks,	i air’ anūre 
nuns,	i·aire qinde 
the Eldar have come,	i·Eldar tulier 
Light hath returned,	i·kal’antúlien 
the golden book,	i·kuluina parma 
the tongue of the gnomes,	i·lambe’n·noldolion 
that vine,	i·liante sa 
the long search may be good,	i limbelu tuktalla nai mára 
the boat hummed like a harp-string,	i lunte linganer 
that house (of yours),	i·mar tye 
the worst piece of steel,	i mitta ’n·felda aksínen 
the man from the elves,	i·ner eldalluva 
this man; this man (we have at present etc.),	i·ner qi 
the wood-spirits came thither,	i oromandin eller tande 
thieves,	i·rendi tapatenda 
both the men,	i·satto nér 
the wind lausted (made a windy noise),	i súru laustaner 
the helm of gold,	i tolma kuluinen 
two elves,	(i·)yúyo elda(li) 
the two elves,	i·yúyo elda(li) 
the two elves,	i·yúyo n·Eldalion 
ten pieces of gold,	kai kuluinen 
ten men,	kai nerion 
the white ship lay upon the rocks,	kaire laiqa’ondoisen kirya 
as a corpse into the grave,	kaivo i sapsanta 
