our Father who [art] in Heaven,	ae Adar nín i vi Menel 
o Elbereth who lit the stars,	a Elbereth Gilthoniel 
o Elbereth who lit the stars,	a Elbereth Gilthoniel² 
Holy Song of the Elves of Rivendell,	Aerlinn in Edhil o Imladris 
he spoke words,	agarfant beth 
glory to the halflings,	aglar’ni Pheriannath 
oh Lady of the West Star-kindler,	a Hîr Annûn Gilthoniel 
Ah! at last Dúnadan!,	ai na vedui Dúnadan 
?behold!] the mountains of Echoriath the mountains of my home!,	alae! ered en Echoriath ered e·mbar nín 
will approach the Bridge of Baranduin on the eighth day of Spring,	anglennatha i Varanduiniant erin dolothen Ethuil 
give us this day our daily bread,	anno ammen sír i mbas ilaurui vín 
Elvish gate open now for us,	annon edhellen edro hi ammen 
to Samwise and Rose the King’s greeting from Minas Tirith the thirty-first day of Stirring,	a Pherhael ar am Meril suilad uin aran o Minas Tirith nelchaenen ned Echuir 
Aragorn [son of Arathorn] the Elfstone,	Aragorn Arathornion Edhelharn 
king of swift ships,	aran cîr lim 
king of swift ships,	aran na chîr lim 
king of Gondor and Arnor and Lord of the Westlands,	aran Gondor ar Arnor ar Hîr i Mbair Annui 
and forgive us our trespasses,	ar díheno ammen i úgerth vin 
and he desires to greet there all his friends,	ar e aníra ennas suilannad mhellyn în phain 
and the Elves (?remember) still in Eressëa,	ar in Ellath epholar eno vi Eressai 
and Frodo Merry Pippin and Hamfast his sons,	ar Iorhael Gelir Cordof ar Baravorn ionnath dîn 
and Rose his wife; and Elanor Rose Goldilocks and Daisy his daughters,	ar Meril bess dîn ar Elanor Meril Glorfinniel ar Eirien sellath dîn 
and Nienor daughter of Morwen Níniel,	ar Nienor sel Morwen Níniel 
and said Rían to Tuor: what have we done?,	ar·phent Rían Tuor·na: man agorech? 
The Debate of Finrod and Andreth,	Athrabeth Finrod ah Andreth 
o guard me Elbereth,	a tiro nin Fanuilos 
don’t do it,	avo garo 
don’t do it,	avgaro 
on Earth as [it is] in Heaven,	bo Ceven sui vi Menel 
thy will be done,	caro den i innas lin 
Celebrimbor of Hollin drew these signs,	Celebrimbor o Eregion teithant i thiw hin 
may the Halflings live long,	cuio i Pheriain anann 
Answer of Pengoloð,	Dangweth Pengolodh 
Frodo and Sam princes of the west,	Daur a Berhael Conin en Annûn 
in especial he desires to see Master Samwise (who should be called Fullwise) Mayor of the Shire,	edregol e aníra tírad i Cherdir Perhael (i sennui Panthael estathar aen) Condir i Drann 
praise (them),	eglerio 
or in the Shire-reckoning the second day of April,	egor ben genediad Drannail erin Gwirith edwen 
the Doors of Durin Lord of Moria,	Ennyn Durin Aran Moria 
and now to thee Fanuilos bright spirit clothed in ever-white I will ... sing,	Fanuilos le linnathon 
doorway of the Dwarf-folk listen to the word of my tongue,	fennas nogothrim lasto beth lammen 
(the) voices of gulls,	glim maewion 
my heart tells me,	guren bêd enni 
Death to the din-horde,	gurth an Glamhoth 
Knight of the Long Sword,	i arben na megil 
the children of Húrin,	i chîn Húrin 
this song Men made in Beleriand but now the Elves alone (?remember) it,	i glinn hen agorer Edain mi Velerian ach hí in Ellath îr ed epholar 
the houses of the Slain,	i mbair en Ndengin 
I Narvi made them,	im Narvi hain echant 
I have a good mind (to do so) (lit.) there is an ‘inn’ in me,	inn dha v’im 
when the Moon for us the Children of God,	ir Ithil ammen Eruchín 
the Great Song that is also called the Children of Húrin,	i·Veleglind i eithro en estar i·Chîn Húrin 
